Miasto;Powiat;Województwo;Area2019;Pop2019;PopDens2019
Raciąż;płoński;mazowieckie;840;4420;526
Racibórz;raciborski;śląskie;7501;54882;732
Radków;kłodzki;dolnośląskie;1503;2418;161
Radlin;wodzisławski;śląskie;1253;17806;1421
Radłów;tarnowski;małopolskie;1683;2767;164
Radom;Radom[a];mazowieckie;11180;213029;1905
Radomsko;radomszczański;łódzkie;5143;46087;896
Radomyśl Wielki;mielecki;podkarpackie;879;3196;364
Radoszyce;konecki;świętokrzyskie;1717;3167;184
Radymno;jarosławski;podkarpackie;1362;5314;390
Radziejów;radziejowski;kujawsko-pomorskie;569;5602;985
Radzionków;tarnogórski;śląskie;1320;16818;1274
Radzymin;wołomiński;mazowieckie;2339;12876;550
Radzyń Chełmiński;grudziądzki;kujawsko-pomorskie;178;1864;1047
Radzyń Podlaski;radzyński;lubelskie;1931;15731;815
Rajgród;grajewski;podlaskie;3528;1585;45
Rakoniewice;grodziski;wielkopolskie;337;3599;1068
Raszków;ostrowski;wielkopolskie;205;2099;1024
Rawa Mazowiecka;rawski;łódzkie;1430;17408;1217
Rawicz;rawicki;wielkopolskie;774;20337;2628
Recz;choszczeński;zachodniopomorskie;1240;2914;235
Reda;wejherowski;pomorskie;3346;25810;771
Rejowiec;chełmski;lubelskie;650;2070;318
Rejowiec Fabryczny;chełmski;lubelskie;1428;4417;309
Resko;łobeski;zachodniopomorskie;449;4231;942
Reszel;kętrzyński;warmińsko-mazurskie;382;4571;1197
Rogoźno;obornicki;wielkopolskie;1124;11148;992
Ropczyce;ropczycko-sędziszowski;podkarpackie;4710;15856;337
Różan;makowski;mazowieckie;666;2727;409
Ruciane-Nida;piski;warmińsko-mazurskie;1707;4474;262
Ruda Śląska;Ruda Śląska[a];śląskie;7773;138000;1775
Rudnik nad Sanem;niżański;podkarpackie;3660;6726;184
Rumia;wejherowski;pomorskie;3010;49031;1629
Rybnik;Rybnik[a];śląskie;14836;138696;935
Rychwał;koniński;wielkopolskie;970;2391;246
Rydułtowy;wodzisławski;śląskie;1495;21637;1447
Rydzyna;leszczyński;wielkopolskie;220;2867;1303
Ryglice;tarnowski;małopolskie;2515;2831;113
Ryki;rycki;lubelskie;2722;9667;355
Rymanów;krośnieński;podkarpackie;1239;3819;308
Ryn;giżycki;warmińsko-mazurskie;414;2851;689
Rypin;rypiński;kujawsko-pomorskie;1096;16354;1492
Rzepin;słubicki;lubuskie;1142;6564;575
Rzeszów;Rzeszów[a];podkarpackie;12661;193883;1531
Rzgów;łódzki wschodni;łódzkie;1677;3401;203
Sandomierz;sandomierski;świętokrzyskie;2869;23644;824
Sanniki;gostyniński;mazowieckie;1176;1983;169
Sanok;sanocki;podkarpackie;3808;37577;987
Sejny;sejneński;podlaskie;449;5344;1190
Serock;legionowski;mazowieckie;1343;4416;329
Sędziszów;jędrzejowski;świętokrzyskie;792;6484;819
Sędziszów Małopolski;ropczycko-sędziszowski;podkarpackie;3699;12276;332
Sępopol;bartoszycki;warmińsko-mazurskie;463;1964;424
Sępólno Krajeńskie;sępoleński;kujawsko-pomorskie;655;9118;1392
Sianów;koszaliński;zachodniopomorskie;1588;6664;420
Siechnice;wrocławski;dolnośląskie;1563;7892;505
Siedlce;Siedlce[a];mazowieckie;3186;77872;2444
Siedliszcze;chełmski;lubelskie;1316;1412;107
Siemianowice Śląskie;Siemianowice Śląskie[a];śląskie;2550;67154;2633
Siemiatycze;siemiatycki;podlaskie;3625;14505;400
Sieniawa;przeworski;podkarpackie;674;2140;318
Sieradz;sieradzki;łódzkie;5122;42267;825
Sieraków;międzychodzki;wielkopolskie;1408;6056;430
Sierpc;sierpecki;mazowieckie;1859;18014;969
Siewierz;będziński;śląskie;3866;5592;145
Skalbmierz;kazimierski;świętokrzyskie;713;1289;181
Skała;krakowski;małopolskie;297;3803;1280
Skarszewy;starogardzki;pomorskie;1079;7023;651
Skaryszew;radomski;mazowieckie;2749;4376;159
Skarżysko-Kamienna;skarżyski;świętokrzyskie;6439;45358;704
Skawina;krakowski;małopolskie;2050;24362;1188
Skępe;lipnowski;kujawsko-pomorskie;748;3603;482
Skierniewice;Skierniewice[a];łódzkie;3460;48178;1392
Skoczów;cieszyński;śląskie;985;14469;1469
Skoki;wągrowiecki;wielkopolskie;1120;4346;388
Skórcz;starogardzki;pomorskie;363;3611;995
Skwierzyna;międzyrzecki;lubuskie;3589;9698;270
Sława;wschowski;lubuskie;1490;4316;290
Sławków;będziński;śląskie;3667;7043;192
Sławno;sławieński;zachodniopomorskie;1583;12528;791
Słomniki;krakowski;małopolskie;343;4348;1268
Słubice;słubicki;lubuskie;1921;16773;873
Słupca;słupecki;wielkopolskie;1030;13773;1337
Słupsk;Słupsk[a];pomorskie;4315;91007;2109
Sobótka;wrocławski;dolnośląskie;3220;6957;216
Sochaczew;sochaczewski;mazowieckie;2619;36462;1392
Sokołów Małopolski;rzeszowski;podkarpackie;1554;4165;268
Sokołów Podlaski;sokołowski;mazowieckie;1751;18939;1082
Sokółka;sokólski;podlaskie;1859;18210;980
Solec Kujawski;bydgoski;kujawsko-pomorskie;1868;15641;837
Sompolno;koniński;wielkopolskie;621;3552;572
Sopot;Sopot[a];pomorskie;1728;36046;2086
Sosnowiec;Sosnowiec[a];śląskie;9106;202036;2219
Sośnicowice;gliwicki;śląskie;1167;1906;163
Stalowa Wola;stalowowolski;podkarpackie;8252;61182;741
Starachowice;starachowicki;świętokrzyskie;3182;48965;1539
Stargard;stargardzki;zachodniopomorskie;4808;67938;1413
Starogard Gdański;starogardzki;pomorskie;2528;47776;1890
Stary Sącz;nowosądecki;małopolskie;1500;9048;603
Staszów;staszowski;świętokrzyskie;2688;14810;551
Stawiski;kolneński;podlaskie;1324;2195;166
Stawiszyn;kaliski;wielkopolskie;99;1526;1541
Stąporków;konecki;świętokrzyskie;1094;5679;519
Stepnica;goleniowski;zachodniopomorskie;340;2471;727
Stęszew;poznański;wielkopolskie;569;5931;1042
Stoczek Łukowski;łukowski;lubelskie;915;2536;277
Stopnica;buski;świętokrzyskie;455;1425;313
Stronie Śląskie;kłodzki;dolnośląskie;238;5741;2412
Strumień;cieszyński;śląskie;629;3680;585
Stryków;zgierski;łódzkie;815;3494;429
Strzegom;świdnicki;dolnośląskie;2049;16153;788
Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie;554;9969;1799
Strzelce Opolskie;strzelecki;opolskie;2997;17982;600
Strzelin;strzeliński;dolnośląskie;1034;12435;1203
Strzelno;mogileński;kujawsko-pomorskie;446;5663;1270
Strzyżów;strzyżowski;podkarpackie;1389;8902;641
Sucha Beskidzka;suski;małopolskie;2765;9165;331
Suchań;stargardzki;zachodniopomorskie;357;1477;414
Suchedniów;skarżyski;świętokrzyskie;5940;8379;141
Suchowola;sokólski;podlaskie;2595;2180;84
Sulechów;zielonogórski;lubuskie;688;16925;2460
Sulejów;piotrkowski;łódzkie;2626;6204;236
Sulejówek;miński;mazowieckie;1931;19714;1021
Sulęcin;sulęciński;lubuskie;856;10157;1187
Sulmierzyce;krotoszyński;wielkopolskie;2929;2887;99
Sułkowice;myślenicki;małopolskie;1646;6633;403
Supraśl;białostocki;podlaskie;569;4622;812
Suraż;białostocki;podlaskie;3386;988;29
Susz;iławski;warmińsko-mazurskie;667;5571;835
Suwałki;Suwałki[a];podlaskie;6551;69827;1066
Swarzędz;poznański;wielkopolskie;823;30433;3698
Syców;oleśnicki;dolnośląskie;1705;10420;611
Szadek;zduńskowolski;łódzkie;1793;1917;107
Szamocin;chodzieski;wielkopolskie;467;4222;904
Szamotuły;szamotulski;wielkopolskie;1108;18776;1695
Szczawnica;nowotarski;małopolskie;3290;5776;176
Szczawno-Zdrój;wałbrzyski;dolnośląskie;1474;5608;380
Szczebrzeszyn;zamojski;lubelskie;2912;5040;173
Szczecin;Szczecin[a];zachodniopomorskie;30060;402465;1339
Szczecinek;szczecinecki;zachodniopomorskie;4848;40114;827
Szczekociny;zawierciański;śląskie;1803;3622;201
Szczucin;dąbrowski;małopolskie;685;4173;609
Szczuczyn;grajewski;podlaskie;1323;3394;257
Szczyrk;bielski;śląskie;3907;5747;147
Szczytna;kłodzki;dolnośląskie;8038;5163;64
Szczytno;szczycieński;warmińsko-mazurskie;1062;23343;2198
Szepietowo;wysokomazowiecki;podlaskie;196;2171;1108
Szklarska Poręba;jeleniogórski;dolnośląskie;7544;6611;88
Szlichtyngowa;wschowski;lubuskie;155;1288;831
Szprotawa;żagański;lubuskie;1095;11912;1088
Sztum;sztumski;pomorskie;459;9990;2176
Szubin;nakielski;kujawsko-pomorskie;765;9576;1252
Szydłowiec;szydłowiecki;mazowieckie;2189;11779;538
Szydłów;staszowski;świętokrzyskie;1621;1106;68
Ścinawa;lubiński;dolnośląskie;1354;5589;413
Ślesin;koniński;wielkopolskie;718;3151;439
Śmigiel;kościański;wielkopolskie;530;5703;1076
Śrem;śremski;wielkopolskie;1237;29714;2402
Środa Śląska;średzki;dolnośląskie;1494;9484;635
Środa Wielkopolska;średzki;wielkopolskie;2192;23312;1064
Świątniki Górne;krakowski;małopolskie;444;2415;544
Świdnica;świdnicki;dolnośląskie;2176;57310;2634
Świdnik;świdnicki;lubelskie;2035;39312;1932
Świdwin;świdwiński;zachodniopomorskie;2238;15594;697
Świebodzice;świdnicki;dolnośląskie;3043;22830;750
Świebodzin;świebodziński;lubuskie;1693;21763;1285
Świecie;świecki;kujawsko-pomorskie;1187;25831;2176
Świeradów-Zdrój;lubański;dolnośląskie;2072;4183;202
Świerzawa;złotoryjski;dolnośląskie;176;2291;1302
Świętochłowice;Świętochłowice[a];śląskie;1331;50012;3757
Świnoujście;Świnoujście[a];zachodniopomorskie;20207;40910;202
Tarczyn;piaseczyński;mazowieckie;523;4129;789
Tarnobrzeg;Tarnobrzeg[a];podkarpackie;8540;47047;551
Tarnogród;biłgorajski;lubelskie;1069;3351;313
Tarnowskie Góry;tarnogórski;śląskie;8388;61361;732
Tarnów;Tarnów[a];małopolskie;7238;109062;1507
Tczew;tczewski;pomorskie;2238;60279;2693
Terespol;bialski;lubelskie;1011;5557;550
Tłuszcz;wołomiński;mazowieckie;791;8157;1031
Tolkmicko;elbląski;warmińsko-mazurskie;229;2692;1176
Tomaszów Lubelski;tomaszowski;lubelskie;1329;19198;1445
Tomaszów Mazowiecki;tomaszowski;łódzkie;4130;62649;1517
Toruń;Toruń[a];kujawsko-pomorskie;11572;202074;1746
Torzym;sulęciński;lubuskie;911;2524;277
Toszek;gliwicki;śląskie;971;3595;370
Trzcianka;czarnkowsko-trzcianecki;wielkopolskie;1830;17197;940
Trzciel;międzyrzecki;lubuskie;304;2389;786
Trzcińsko-Zdrój;gryfiński;zachodniopomorskie;233;2273;976
Trzebiatów;gryficki;zachodniopomorskie;1025;10009;976
Trzebinia;chrzanowski;małopolskie;3194;19846;621
Trzebnica;trzebnicki;dolnośląskie;1061;13322;1256
Trzemeszno;gnieźnieński;wielkopolskie;546;7670;1405
Tuchola;tucholski;kujawsko-pomorskie;1769;13680;773
Tuchów;tarnowski;małopolskie;1810;6671;369
Tuczno;wałecki;zachodniopomorskie;921;1916;208
Tuliszków;turecki;wielkopolskie;700;3270;467
Tułowice;opolski;opolskie;923;3998;433
Turek;turecki;wielkopolskie;1617;27109;1676
Tuszyn;łódzki wschodni;łódzkie;2325;7292;314
Twardogóra;oleśnicki;dolnośląskie;829;6716;810
Tychowo;białogardzki;zachodniopomorskie;396;2517;636
Tychy;Tychy[a];śląskie;8181;127831;1563
Tyczyn;rzeszowski;podkarpackie;967;3816;395
Tykocin;białostocki;podlaskie;2897;1975;68
Tyszowce;tomaszowski;lubelskie;1852;2132;115
Ujazd;strzelecki;opolskie;1476;1774;120
Ujście;pilski;wielkopolskie;578;3697;640
Ulanów;niżański;podkarpackie;820;1424;174
Uniejów;poddębicki;łódzkie;1223;2984;244
Urzędów;kraśnicki;lubelskie;1291;1709;132
Ustka;słupski;pomorskie;1019;15527;1524
Ustroń;cieszyński;śląskie;5903;16054;272
Ustrzyki Dolne;bieszczadzki;podkarpackie;1679;9132;544
Wadowice;wadowicki;małopolskie;1054;18774;1781
Wałbrzych;Wałbrzych[a];dolnośląskie;8470;112594;1329
Wałcz;wałecki;zachodniopomorskie;3817;25359;664
Warka;grójecki;mazowieckie;2677;11926;445
Warszawa;m.st. Warszawa[a];mazowieckie;51724;1777972;3437
Warta;sieradzki;łódzkie;1085;3263;301
Wasilków;białostocki;podlaskie;2826;11384;403
Wąbrzeźno;wąbrzeski;kujawsko-pomorskie;853;13605;1595
Wąchock;starachowicki;świętokrzyskie;1602;2764;173
Wągrowiec;wągrowiecki;wielkopolskie;1783;25648;1438
Wąsosz;górowski;dolnośląskie;324;2672;825
Wejherowo;wejherowski;pomorskie;2699;49789;1845
Węgliniec;zgorzelecki;dolnośląskie;873;2860;328
Węgorzewo;węgorzewski;warmińsko-mazurskie;1088;11341;1042
Węgorzyno;łobeski;zachodniopomorskie;685;2831;413
Węgrów;węgrowski;mazowieckie;3551;12672;357
Wiązów;strzeliński;dolnośląskie;916;2257;246
Wielbark;szczycieński;warmińsko-mazurskie;1842;3049;166
Wieleń;czarnkowsko-trzcianecki;wielkopolskie;446;5919;1327
Wielichowo;grodziski;wielkopolskie;124;1767;1425
Wieliczka;wielicki;małopolskie;1341;23395;1745
Wieluń;wieluński;łódzkie;1687;22521;1335
Wieruszów;wieruszowski;łódzkie;597;8568;1435
Więcbork;sępoleński;kujawsko-pomorskie;431;5966;1384
Wilamowice;bielski;śląskie;1036;3086;298
Wisła;cieszyński;śląskie;11017;11171;101
Wiślica;buski;świętokrzyskie;471;515;109
Witkowo;gnieźnieński;wielkopolskie;831;7893;950
Witnica;gorzowski;lubuskie;824;6763;821
Wleń;lwówecki;dolnośląskie;722;1778;246
Władysławowo;pucki;pomorskie;1367;9958;728
Włocławek;Włocławek[a];kujawsko-pomorskie;8432;110802;1314
Włodawa;włodawski;lubelskie;1797;13220;736
Włoszczowa;włoszczowski;świętokrzyskie;3030;10043;331
Wodzisław Śląski;wodzisławski;śląskie;4951;48143;972
Wojcieszów;złotoryjski;dolnośląskie;3217;3676;114
Wojkowice;będziński;śląskie;1279;8936;699
Wojnicz;tarnowski;małopolskie;850;3330;392
Wolbórz;piotrkowski;łódzkie;1518;2337;154
Wolbrom;olkuski;małopolskie;1012;8604;850
Wolin;kamieński;zachodniopomorskie;1447;4828;334
Wolsztyn;wolsztyński;wielkopolskie;478;13183;2758
Wołczyn;kluczborski;opolskie;747;5921;793
Wołomin;wołomiński;mazowieckie;1724;37138;2154
Wołów;wołowski;dolnośląskie;1854;12425;670
Woźniki;lubliniecki;śląskie;7101;4338;61
Wrocław;Wrocław[a];dolnośląskie;29282;640648;2188
Wronki;szamotulski;wielkopolskie;581;11199;1928
Września;wrzesiński;wielkopolskie;1273;30558;2400
Wschowa;wschowski;lubuskie;925;13953;1508
Wyrzysk;pilski;wielkopolskie;412;5139;1247
Wysoka;pilski;wielkopolskie;482;2647;549
Wysokie Mazowieckie;wysokomazowiecki;podlaskie;1524;9414;618
Wyszków;wyszkowski;mazowieckie;2078;26890;1294
Wyszogród;płocki;mazowieckie;1297;2618;202
Wyśmierzyce;białobrzeski;mazowieckie;1684;886;53
Zabłudów;białostocki;podlaskie;1430;2464;172
Zabrze;Zabrze[a];śląskie;8040;173374;2156
Zagórów;słupecki;wielkopolskie;344;3005;874
Zagórz;sanocki;podkarpackie;2229;5120;230
Zakliczyn;tarnowski;małopolskie;402;1642;408
Zaklików;stalowowolski;podkarpackie;1142;3013;264
Zakopane;tatrzański;małopolskie;8426;27191;323
Zakroczym;nowodworski;mazowieckie;1997;3210;161
Zalewo;iławski;warmińsko-mazurskie;822;2165;263
Zambrów;zambrowski;podlaskie;1902;22166;1165
Zamość;Zamość[a];lubelskie;3034;63813;2103
Zator;oświęcimski;małopolskie;1152;3698;321
Zawadzkie;strzelecki;opolskie;1646;7168;435
Zawichost;sandomierski;świętokrzyskie;2029;1776;88
Zawidów;zgorzelecki;dolnośląskie;607;4217;695
Zawiercie;zawierciański;śląskie;8525;49567;581
Ząbki;wołomiński;mazowieckie;1098;36706;3343
Ząbkowice Śląskie;ząbkowicki;dolnośląskie;1367;15072;1103
Zbąszynek;świebodziński;lubuskie;358;5021;1403
Zbąszyń;nowotomyski;wielkopolskie;542;7278;1343
Zduny;krotoszyński;wielkopolskie;620;4534;731
Zduńska Wola;zduńskowolski;łódzkie;2457;42094;1713
Zdzieszowice;krapkowicki;opolskie;1235;11471;929
Zelów;bełchatowski;łódzkie;1075;7636;710
Zgierz;zgierski;łódzkie;4233;56529;1335
Zgorzelec;zgorzelecki;dolnośląskie;1588;30521;1922
Zielona Góra;Zielona Góra[a];lubuskie;27832;140297;504
Zielonka;wołomiński;mazowieckie;7948;17589;221
Ziębice;ząbkowicki;dolnośląskie;1507;8759;581
Złocieniec;drawski;zachodniopomorskie;3228;12950;401
Złoczew;sieradzki;łódzkie;1379;3384;245
Złotoryja;złotoryjski;dolnośląskie;1151;15655;1360
Złotów;złotowski;wielkopolskie;1158;18446;1593
Złoty Stok;ząbkowicki;dolnośląskie;773;2787;361
Zwierzyniec;zamojski;lubelskie;619;3194;516
Zwoleń;zwoleński;mazowieckie;1591;7737;486
Żabno;tarnowski;małopolskie;1113;4248;382
Żagań;żagański;lubuskie;4038;25812;639
Żarki;myszkowski;śląskie;2544;4568;180
Żarów;świdnicki;dolnośląskie;757;6755;892
Żary;żarski;lubuskie;3349;37682;1125
Żelechów;garwoliński;mazowieckie;1213;3995;329
Żerków;jarociński;wielkopolskie;216;2132;987
Żmigród;trzebnicki;dolnośląskie;949;6449;680
Żnin;żniński;kujawsko-pomorskie;835;13934;1669
Żory;Żory[a];śląskie;6464;62456;966
Żukowo;kartuski;pomorskie;473;6683;1413
Żuromin;żuromiński;mazowieckie;1118;8901;796
Żychlin;kutnowski;łódzkie;868;8220;947
Żyrardów;żyrardowski;mazowieckie;1435;39992;2787
Żywiec;żywiecki;śląskie;5054;31388;621
